ThaiName,EnglishName,Type
บริบูรณ์,Boribun,place
บริษัทจีโนมโมเลกุล แลบบอราตอรี่ คลินิกเทคนิคการแพทย์,,"organization, place"
บวกค้าง,Buak Khang,place
บ่อ,Bo,place
บ่อกระดาน,Bo Kradan,place
บ่อกรุ,Bo Kru,place
บ่อกวางทอง,Bo Kwang Thong,place
บ่อเกลือ,Bo Kluea,place
บ่อเกลือใต้,Bo Kluea Tai,place
บ่อเกลือเหนือ,Bo Kluea Nuea,place
บ่อแก้ว,Bo Kaeo,place
บ้องตี้,Bong Ti,place
บองอ,Bo-Ngo,place
บ่อเงิน,Bo Ngoen,place
บ่อดาน,Bodan,place
บ่อแดง,Bodaeng,place
บ่อตรุ,Botru,place
บ่อตาโล่,Bo Ta Lo,place
บ่อถ้ำ,Bo Tham,place
บ่อทอง,Bo Thong,place
บ่อทอง,Bo Thong,place
บ่อไทย,Bo Thai,place
บอน,Bon,place
บ่อนอก,Bo Nok,place
บ่อน้ำร้อน,Bo Nam Ron,place
บ่อเบี้ย,Bo Bia,place
บ่อปลาทอง,Bo Pla Thong,place
บ่อผุด,Bo Phut,place
บ่อพลอย,Bo Phloi,place
บ่อพลอย,Bo Phloi,place
บ่อพลับ,Bo Phlap,place
บ่อพันขัน,Bo Phan Khan,place
บ่อพุ,Bo Phu,place
บ่อโพง,Bo Phong,place
บ่อโพธิ์,Bo Pho,place
บ่อภาค,Bo Phak,place
บ่อยาง,Bo Yang,place
บ่อรัง,Bo Rang,place
บ่อแร่,Bo Rae,place
บ่อไร่,Bo Rai,place
บ่อวิน,Bo Win,place
บ่อเวฬุ,Bo Weru,place
บอสเนียและเฮอร์เซโกวีนา,Bosnia and Herzegovina,place
บ่อสลี,Bo Sali,place
บ่อสุพรรณ,Bo Suphan,place
บ่อแสน,Bo Saen,place
บ่อหลวง,Bo Luang,place
บ่อหิน,Bo Hin,place
บ่อเหล็กลอง,Bo Lek Long,place
บ่อใหญ่,Bo Yai,place
บ่อแฮ้ว,Bo Haeo,place
บะ,Ba,place
บะยาว,Bayao,place
บะหมี่หมูแดง,,other
บะหว้า,Bawa,place
บะฮี,Bahi,place
บักดอง,Bak Dong,place
บักได,Bak Dai,place
บังกี,Bangui,place
บันจูล,Banjul,place
บันดาร์เซอรีเบอกาวัน,Bandar Seri Begawan,place
บันนังสตา,Bannang Sata,place
บันนังสตา,Bannang Sata,place
บันนังสาเรง,Bannang Sareng,place
บัลลังก์,Banlang,place
บัวขาว,Bua Khao,place
บัวค้อ,Bua Kho,place
บัวคำ,Bua Kham,place
บัวโคก,Bua Khok,place
บัวงาม,Bua Ngam,place
บัวเงิน,Bua Ngoen,place
บัวชุม,Bua Chum,place
บัวเชด,Buachet,place
บัวเชด,Bua Chet,place
บัวแดง,Bua Daeng,place
บัวตูม,,place
บัวทอง,Bua Thong,place
บัวน้อย,Bua Noi,place
บัวโนสไอเรส,Buenos Aires,place
บัวบาน,Bua Ban,place
บัวปากท่า,Bua Pak Tha,place
บัวมาศ,,place
บัวลอย,Bua Loi,place
บัวลาย,Bua Lai,place
บัวลาย,Bua Lai,place
บัววัฒนา,Bua Watthana,place
บัวสลี,Bua Sali,place
บัวหุ่ง,Bua Hung,place
บัวใหญ่,Bua Yai,place
บัวใหญ่,Bua Yai,place
บัส-แตร์,Basse-Terre,place
บากเรือ,Bak Ruea,place
บากู,Baku,place
บางกรวย,Bang Kruai,place
บางกรวย,Bang Kruai,place
บางกระเจ็ด,Bang Krachet,place
บางกระเจ้า,Bang Krachao,place
บางกระทึก,Bang Krathuek,place
บางกระทุ่ม,Bang Krathum,place
บางกระทุ่ม,Bang Krathum,place
บางกระบือ,Bang Krabue,place
บางกระเบา,Bang Krabao,place
บางกระสอ,Bang Kraso,place
บางกระสอบ,Bang Krasop,place
บางกระสั้น,Bang Krasan,place
บางกระไห,Bang Kahai,place
บางกร่าง,Bang Krang,place
บางกรูด,Bang Krut,place
บางกล่ำ,Bang Klam,place
บางกล่ำ,Bang Klam,place
บ้างกลึง,Ban Klueng,place
บางกอกเด็นทัลโฮมคลินิก,,"organization, place"
บางกอกน้อย,Bangkok Noi,place
บางกอกใหญ่,Bangkok Yai,place
บางกอกอินเตอร์เนชั่ลแนลเด็นทัลคลินิกทันตกรรม,,"organization, place"
บางกอบัว,Bang Ko Bua,place
บางกะจะ,Bang Kacha,place
บางกะเจ้า,Bang Kachao,place
บางกะไชย,Bang Kachai,place
บางกะดี,Bang Kadi,place
บางกะปิ,Bang Kapi,place
บางกะปิคลินิกเวชกรรม,,"organization, place"
บางกะพี้,Bang Kaphi,place
บางกุ้ง,Bang Kung,place
บางเกลือ,Bang Kluea,place
บางเก่า,Bang Kao,place
บางแก้ว,Bang Kaeo,place
บางแก้ว,Bang Kaeo,place
บางแก้ว,,place
บางแก้ว,Bang Kaeo,place
บางแก้วฟ้า,Bang Kaeo Fa,place
บางโกระ,Bang Kro,place
บางขนาก,Bang Khanak,place
บางขนุน,Bang Khanun,place
บางขวัญ,Bang Khwan,place
บางขะแยง,Bang Khayaeng,place
บางขัน,Bang Khan,place
บางขัน,Bang Khan,place
บางขันแตก,Bang Khan Taek,place
บางขันหมาก,Bang Khan Mak,place
บางขาม,Bang Kham,place
บางขุด,Bang Khut,place
บางขุนกอง,Bang Khun Kong,place
บางขุนทอง,Bang Khun Thong,place
บางขุนเทียน,Bang Khun Thian,place
บางขุนเทียน 5 คลินิกเวชกรรม,,"organization, place"
บางขุนไทร,Bang Khun Sai,place
บางเขน,Bang Khen,place
บางเขน,Bang Khen,place
บางเขา,Bang Khao,place
บางเขียด,Bang Khiat,place
บางแขม,Bang Khaem,place
บางโขมด,Bang Khamot,place
บางคนที,Bang Khonthi,place
บางคนที,Bang Khonthi,place
บางครก,Bang Khrok,place
บางครุ,Bang Khru,place
บางคล้า,Bang Khla,place
บางคล้า,Bang Khla,place
บางคลาน,Bang Khlan,place
บางคอแหลม,Bang Kho Laem,place
บางคา,Bang Kha,place
บางคู้,Bang Khu,place
บางคูรัด,Bang Khu Rat,place
บางคูวัด,Bang Khu Wat,place
บางคูเวียง,Bang Khu Wiang,place
บางเค็ม,Bang Khem,place
บางเคียน,Bang Khian,place
บางแค,Bang Khae,place
บางแค,Bang Khae,place
บางงอน,Bang Ngon,place
บางงา,Bang Nga,place
บางงาม,Bang Ngam,place
บางจะเกร็ง,Bang Chakreng,place
บางจัก,Bang Chak,place
บางจาก,Bang Chak,place
บางจากคลินิกเวชกรรม,,"organization, place"
บางจาน,Bang Chan,place
บางเจ้าฉ่า,Bang Chao Cha,place
บางโฉลง,,place
บางชนะ,Bang Chana,place
บางชะนี,Bang Chani,place
บางชัน,Bang Chan,place
บางชันเวชกรรมคลินิก,,"organization, place"
บางช้าง,Bang Chang,place
บางซ่อน,Bang Son,place
บางซ่อนคลินิกเวชกรรม,,"organization, place"
บางซ้าย,Bang Sai,place
บางซ้าย,Bang Sai,place
บางซื่อ,Bang Su,place
บางด้วน,,place
บางด้วน,Bang Duan,place
บางดี,Bang Di,place
บางเดชะ,Bang Decha,place
บางเดื่อ,Bang Duea,place
บางเดือน,Bang Duean,place
บางตลาด,Bang Talat,place
บางตะเคียน,Bang Takhian,place
บางตะไนย์,Bang Tanai,place
บางตะบูน,Bang Tabun,place
บางตะบูนออก,Bang Tabun Ok,place
บางตะพง,Bang Taphong,place
บางตาเถร,Bang Ta Then,place
บางตาวา,Bang Tawa,place
บางตาหงาย,Bang Ta Ngai,place
บางตีนเป็ด,Bang Tin Pet,place
บางเตย,Bang Toei,place
บางแตน,Bang Taen,place
บางโตนด,Bang Tanot,place
บางทราย,Bang Sai,place
บางทรายน้อย,Bang Sai Noi,place
บางทรายใหญ่,Bang Sai Yai,place
บางทอง,Bang Thong,place
บางโทรัด,Bang Thorat,place
บางไทร,Bang Sai,place
บางไทร,Bang Sai,place
บางไทรป่า,Bang Sai Pa,place
บางนกแขวก,Bang Nok Khwaek,place
บางนบ,Bang Nop,place
บางนมโค,Bang Nom Kho,place
บางนอน,Bang Non,place
บางนา,Bang Na,place
บางนา,Bang Na,place
บางนาค,Bang Nak,place
บางนาง,Bang Nang,place
บางนางร้า,Bang Nang Ra,place
บางนางลี่,Bang Nang Li,place
บางนายสี,Bang Nai Si,place
บางน้ำจืด,Bang Nam Chuet,place
บางน้ำเชี่ยว,Bang Nam Chiao,place
บางน้ำเปรี้ยว,Bang Nam Priao,place
บางน้ำเปรี้ยว,Bang Nam Priao,place
บางน้ำผึ้ง,Bang Nam Phueng,place
บางบริบูรณ์,Bang Boribun,place
บางบ่อ,Bang Bo,place
บางบ่อ,,place
บางบอน,Bang Bon,place
บางบอนคลินิกแพทย์เวชกรรม,,"organization, place"
บางบอนคลินิกเวชกรรม,,"organization, place"
บางบัวทอง,Bang Bua Thong,place
บางบัวทอง,Bang Bua Thong,place
บางบาล,Bang Ban,place
บางบาล,Bang Ban,place
บางบุตร,Bang But,place
บางใบไม้,Bang Bai Mai,place
บางปรอก,Bang Prok,place
บางประแดง,Bang Pradaeng,place
บางประมุง,Bang Pramung,place
บางปลา,Bang Pla,place
บางปลา,,place
บางปลากด,Bang Pla Kot,place
บางปลาม้า,Bang Pla Ma,place
บางปลาม้า,Bang Pla Ma,place
บางปลาร้า,Bang Pla Ra,place
บางปลาสร้อย,Bang Pla Soi,place
บางปอ,Bang Po,place
บางปะกง,Bang Pakong,place
บางปะกง,Bang Pakong,place
บางปะแก้วคลินิกเวชกรรม,,"organization, place"
บางปะหัน,Bang Pahan,place
บางปะหัน,Bang Pahan,place
บางปะอิน,Bang Pa-in,place
บางป่า,Bang Pa,place
บางปิด,Bang Pit,place
บางปู,Bang Pu,place
บางปูใหม่,,place
บางเป้า,Bang Pao,place
บางโปรง,,place
บางผึ้ง,Bang Phueng,place
บางไผ่,Bang Phai,place
บางพรม,Bang Phrom,place
บางพระ,Bang Phra,place
บางพระครู,Bang Phrakhru,place
บางพระใต้,Bang Phra Tai,place
บางพระหลวง,Bang Phra Luang,place
บางพระเหนือ,Bang Phra Nuea,place
บางพลวง,Bang Phluang,place
บางพลัด,Bang Phlat,place
บางพลับ,Bang Phlap,place
บางพลี,Bang Phli,place
บางพลี,Bang Phli,place
บางพลีน้อย,,place
บางพลีใหญ่,,place
บางพึ่ง,Bang Phueng,place
บางพุทรา,Bang Phutsa,place
บางพูด,Bang Phut,place
บางพูน,Bang Phun,place
บางเพรียง,,place
บางเพลิง,Bang Phloeng,place
บางแพ,Bang Phae,place
บางแพ,Bang Phae,place
บางโพธิ์,Bang Pho,place
บางโพธิ์เหนือ,Bang Pho Nuea,place
บางภาษี,Bang Phasi,place
บางมด 3 สหคลินิก,,"organization, place"
บางม่วง,Bang Muang,place
บางมะเดื่อ,Bang Maduea,place
บางมะฝ่อ,Bang Mafo,place
บางมะพร้าว,Bang Maphrao,place
บางมัญ,Bang Man,place
บางมูลนาก,Bang Mun Nak,place
บางเมือง,,place
บางแม่นาง,Bang Mae Nang,place
บางยอ,Bang Yo,place
บางยาง,Bang Yang,place
บางยี่โท,Bang Yitho,place
บางยี่รงค์,Bang Yi Rong,place
บางระกำ,Bang Rakam,place
บางระกำ,Bang Rakam,place
บางระจัน,Bang Rachan,place
บางระจัน,Bang Rachan,place
บางรัก,Bang Rak,place
บางรัก,Bang Rak,place
บางรักน้อย,Bang Rak Noi,place
บางรักพัฒนา,Bang Rak Phatthana,place
บางรักใหญ่,Bang Rak Yai,place
บางริ้น,Bang Rin,place
บางรูป,Bang Rup,place
บางโรง,Bang Rong,place
บางละมุง,Bang Lamung,place
บางละมุง,,place
บางลาย,Bang Lai,place
บางลี่,Bang Li,place
บางลึก,Bang Luek,place
บางลูกเสือ,Bang Luk Suea,place
บางเลน,Bang Len,place
บางเลน,Bang Len,place
บางเล่า,Bang Lao,place
บางวัน,Bang Wan,place
บางวัว,Bang Wua,place
บางศรีเมือง,Bang Si Mueang,place
บางศาลา,Bang Sala,place
บางสน,Bang Son,place
บางสมบูรณ์,Bang Sombun,place
บางสมัคร,Bang Samak,place
บางสระเก้า,Bang Sa Kao,place
บางสวน,Bang Suan,place
บางสวรรค์,Bang Sawan,place
บางสะแก,Bang Sakae,place
บางสะแกเวชกรรมคลินิก,,"organization, place"
บางสะพาน,Bang Saphan,place
บางสะพาน,Bang Saphan,place
บางสะพานน้อย,Bang Saphan Noi,place
บางสัก,Bang Sak,place
บางสีทอง,Bang Si Thong,place
บางเสด็จ,Bang Sadet,place
บางเสร่,Bang Sare,place
บางเสาธง,Bang Sao Thong,place
บางเสาธง,Bang Sao Thong,place
บางหญ้าแพรก,Bang Ya Phraek,place
บางหมาก,Bang Mak,place
บางหลวง,Bang Luang,place
บางหลวงโดด,Bang Luang Dot,place
บางหัก,Bang Hak,place
บางหัวเสือ,Bang Hua Suea,place
บางหิน,Bang Hin,place
บางเหรียง,Bang Riang,place
บางใหญ่,Bang Yai,place
บางใหญ่,Bang Yai,place
บางอ้อ,Bang O,place
บาโงย,Ba-Ngoi,place
บาโงยซิแน,Ba-Ngoi Sinae,place
บาโงสะโต,Ba-Ngo Sato,place
บาเจาะ,Tak Bai,place
บาเจาะ,Bacho,place
บาดทะยัก,,other
บาตง,Batong,place
บ้านกง,Ban Kong,place
บ้านกรด,Ban Krot,place
บ้านกรวด,Ban Kruat,place
บ้านกรวด,Ban Kruat,place
บ้านกระแชง,Ban Krachaeng,place
บ้านกระทุ่ม,Ban Krathum,place
บ้านกร่าง,Ban Krang,place
บ้านกล้วย,Ban Kluai,place
บ้านกลับ,Ban Klap,place
บ้านกลาง,Ban Klang,place
บ้านกวาง,Ban Kwang,place
บ้านกอก,Ban Kok,place
บ้านก้อง,Ban Kong,place
บ้านกาด,Ban Kat,place
บ้านกาศ,Ban Kat,place
บ้านกิ่ว,Ban Kio,place
บ้านกุ่ม,Ban Kum,place
บ้านกู่,Ban Ku,place
บ้านเก่า,Ban Kao,place
บ้านเกาะ,Ban Ko,place
บ้านแก่ง,Ban Kaeng,place
บ้านแก้ง,Ban Kaeng,place
บ้านขล้อ,Ban Khlo,place
บ้านขวาง,Ban Khwang,place
บ้านขอ,Ban Kho,place
บ้านข่อย,Ban Khoi,place
บ้านข่า,Ban Kha,place
บ้านขาม,Ban Kham,place
บ้านขาว,Ban Khao,place
บ้านเขว้า,Ban Khwao,place
บ้านเขว้า,Ban Khwao,place
บ้านเขือง,,place
บ้านแขม,Ban Khaem,place
บ้านโข้ง,Ban Khong,place
บ้านโขด,Ban Khot,place
บ้านครัว,Ban Khrua,place
บ้านคลอง,Ban Khlong,place
บ้านคลองสวน,Ban Khlong Suan,place
บ้านคลัง,Ban Khlang,place
บ้านควน,Ban Khuan,place
บ้านควนมุด,Ban Khuan Mut,place
บ้านค้อ,Ban Kho,place
บ้านคา,Ban Kha,place
บ้านคา,Ban Kha,place
บ้านค่า,Ban Kha,place
บ้านค่าย,Ban Khai,place
บ้านค่าย,Ban Khai,place
บ้านคู,Ban Khu,place
บ้านแค,Ban Khae,place
บ้านโคก,Ban Khok,place
บ้านโคก,Ban Khok,place
บ้านโคน,Ban Khon,place
บ้านฆ้อง,Ban Khong,place
บ้านงิ้ว,Ban Ngio,place
บ้านจั่น,Ban Chan,place
บ้านจันทน์,Ban Chan,place
บ้านจันทร์,บ้านจันทร์,place
บ้านจ่า,Ban Cha,place
บ้านจาน,Ban Chan,place
บ้านจารย์,Ban Chan,place
บ้านจีต,Ban Chiet,place
บ้านเจียง,Ban Chiang,place
บ้านแจ้ง,Ban Chaeng,place
บ้านฉาง,Ban Chang,place
บ้านฉาง,Ban Chang,place
บ้านช่ง,,place
บ้านชบ,Ban Chop,place
บ้านชวน,Ban Chuan,place
บ้านชะอวด,Ban Cha-Uat,place
บ้านชัย,Ban Chai,place
บ้านช้าง,Ban Chang,place
บ้านชี,Ban Chi,place
บ้านชุ้ง,Ban Chung,place
บ้านเชิด,Ban Soet,place
บ้านเชียง,Ban Chiang,place
บ้านเชี่ยน,Ban Chian,place
บ้านซ่อง,Ban Song,place
บ้านซ่าน,Ban San,place
บ้านแซว,Ban Saeo,place
บ้านดง,Ban Dong,place
บ้านดอน,Ban Don,place
บ้านด่าน,Ban Dan,place
บ้านด่าน,Ban Dan,place
บ้านด่านนาขาม,Ban Dan Na Kham,place
บ้านด่านลานหอย,Ban Dan Lan Hoi,place
บ้านด้าย,Ban Dai,place
บ้านดารา,Ban Dara,place
บ้านดุง,Ban Dung,place
บ้านดุง,Ban Dung,place
บ้านดู่,Ban Du,place
บ้านเดื่อ,Ban Duea,place
บ้านแดง,Ban Daeng,place
บ้านแดน,Ban Daen,place
บ้านต้อง,,place
บ้านต้อน,Ban Ton,place
บ้านต๋อม,Ban Tom,place
บ้านตะโก,Ban Tako,place
บ้านตาก,Ban Tak,place
บ้านตาขุน,Ban Ta Khun,place
บ้านตาด,Ban Tat,place
บ้านต้าย,Ban Tai,place
บ้านตาล,Ban Tan,place
บ้านต๊ำ,Ban Tam,place
บ้านติ้ว,Ban Tio,place
บ้านตึก,Ban Tuek,place
บ้านตุ่น,Ban Tun,place
บ้านตูม,Ban Tum,place
บ้านตูล,Ban Tun,place
บ้านเต่า,Ban Tao,place
บ้านโตก,Ban Tok,place
บ้านโต้น,Ban Ton,place
บ้านใต้,Ban Tai,place
บ้านถ่อน,Ban Thon,place
บ้านถ้ำ,Ban Tham,place
บ้านถิ่น,Ban Thin,place
บ้านแถว,Ban Thaeo,place
บ้านทราย,Ban Sai,place
บ้านทับ,Ban Thap,place
บ้านทาน,Ban Than,place
บ้านทาม,Ban Tham,place
บ้านทำเนียบ,Ban Thamniap,place
บ้านทุ่ม,Ban Thum,place
บ้านแท่น,Ban Thaen,place
บ้านแท่น,Ban Thaen,place
บ้านไทย,Ban Thai,place
บ้านไทร,Ban Sai,place
บ้านธาตุ,Ban That,place
บ้านธิ,Ban Thi,place
บ้านธิ,Ban Thi,place
บ้านนอก,Ban Nok,place
บ้านน้อย,Ban Noi,place
บ้านน้อยซุ้มขี้เหล็ก,Ban Noi Sum Khi Lek,place
บ้านนา,Ban Na,place
บ้านนา,Ban Na,place
บ้านนาเดิม,Ban Na Doem,place
บ้านนาสาร,Ban Na San,place
บ้านน้ำบ่อ,Ban Nam Bo,place
บ้านน้ำพุ,Ban Namphu,place
บ้านนิคม,Ban Nikhom,place
บ้านเนิน,Ban Noen,place
บ้านโนน,Ban Non,place
บ้านในดง,Ban Nai Dong,place
บ้านบ่อ,Ban Bo,place
บ้านบอม,Ban Bom,place
บ้านบัว,Ban Bua,place
บ้านบาก,Ban Bak,place
บ้านบึง,Ban Bueng,place
บ้านบึง,Ban Bueng,place
บ้านบุ่ง,,place
บ้านปง,Ban Pong,place
บ้านปทุม,Ban Pathum,place
บ้านปรก,Ban Prok,place
บ้านปรางค์,Ban Prang,place
บ้านปราโมทย์,Ban Pramot,place
บ้านปรือ,Ban Prue,place
บ้านปวง,Ban Puang,place
บ้านป้อม,Ban Pom,place
บ้านป่า,Ban Pa,place
บ้านปิน,Ban Pin,place
บ้านปึก,Ban Puek,place
บ้านเป็ด,Ban Pet,place
บ้านเป้า,Ban Pao,place
บ้านแป้ง,Ban Paeng,place
บ้านแป้น,Ban Paen,place
บ้านแปรง,Ban Praeng,place
บ้านแปะ,Ban Pae,place
บ้านโป่ง,Ban Pong,place
บ้านโป่ง,Ban Pong,place
บ้านโปร่ง,Ban Prong,place
บ้านผึ้ง,Ban Phueng,place
บ้านผือ,Ban Phue,place
บ้านผือ,Ban Phue,place
บ้านไผ่,Ban Phai,place
บ้านไผ่,Ban Phai,place
บ้านฝาง,Ban Fang,place
บ้านฝาง,Ban Fang,place
บ้านฝาย,Ban Fai,place
บ้านพระ,Ban Phra,place
บ้านพราน,Ban Phran,place
บ้านพร้าว,Ban Phrao,place
บ้านพร้าว,,place
บ้านพร้าว,Ban Phrao,place
บ้านพริก,Ban Phrik,place
บ้านพรุ,Ban Phru,place
บ้านพลวง,Ban Phluang,place
บ้านพลับ,Ban Phlap,place
บ้านพี้,Ban Phi,place
บ้านเพชร,Ban Phet,place
บ้านเพิง,Ban Phoeng,place
บ้านเพิ่ม,Ban Phoem,place
บ้านแพ,Ban Phae,place
บ้านแพง,Ban Phaeng,place
บ้านแพง,Ban Phaeng,place
บ้านแพน,Ban Phaen,place
บ้านแพรก,Ban Phraek,place
บ้านแพรก,Ban Phraek,place
บ้านแพ้ว,Ban Phaeo,place
บ้านแพ้ว,Ban Phaeo,place
บ้านโพ,Ban Pho,place
บ้านโพธิ์,Ban Pho,place
บ้านโพธิ์,Ban Pho,place
บ้านโพน,Ban Phon,place
บ้านฟอฟันคลินิกทันตกรรม,,"organization, place"
บ้านฟ้า,Ban Fa,place
บ้านโภชน์,Ban Phot,place
บ้านม่วง,Ban Muang,place
บ้านม่วง,Ban Muang,place
บ้านมะเกลือ,Ban Makluea,place
บ้านม้า,Ban Ma,place
บ้านมาง,Ban Mang,place
บ้านมุง,Ban Mung,place
บ้านเม็ง,Ban Meng,place
บ้านแม,Ban Mae,place
บ้านแมด,Ban Maet,place
บ้านยวด,Ban Yuat,place
บ้านยา,Ban Ya,place
บ้านยาง,Ban Yang,place
บ้านแยง,Ban Yaeng,place
บ้านร้อง,Ban Rong,place
บ้านร่อม,Ban Rom,place
บ้านระกาศ,,place
บ้านราม,Ban Ram,place
บ้านราษฎร์,Ban Rat,place
บ้านรี,Ban Ri,place
บ้านรุม,Ban Run,place
บ้านเรือ,Ban Ruea,place
บ้านเรือน,Ban Ruean,place
บ้านแร่,Ban Rae,place
บ้านไร่,Ban Rai,place
บ้านไร่,Ban Rai,place
บ้านลาด,Ban Lat,place
บ้านลาด,Ban Lat,place
บ้านลาน,Ban Lan,place
บ้านลำ,Ban Lam,place
บ้านลำนาว,Ban Lamnao,place
บ้านลี่,Ban Li,place
บ้านเลน,Ban Len,place
บ้านเล่า,Ban Lao,place
บ้านเลือก,Ban Lueak,place
บ้านเลื่อม,Ban Lueam,place
บ้านแลง,Ban Laeng,place
บ้านวัง,Ban Wang,place
บ้านว่าน,Ban Wan,place
บ้านเวียง,Ban Wiang,place
บ้านแวง,Ban Waeng,place
บ้านสระ,Ban Sa,place
บ้านสร้าง,Ban Sang,place
บ้านสร้าง,Ban Sang,place
บ้านสวน,Ban Suan,place
บ้านสวนทันตคลินิก,,"organization, place"
บ้านสหกรณ์,Ban Sahakon,place
บ้านส้อง,Ban Song,place
บ้านสา,Ban Sa,place
บ้านสาง,Ban Sang,place
บ้านสิงห์,Ban Sing,place
บ้านเสด็จ,Ban Sadet,place
บ้านเสียว,Ban Siao,place
บ้านเสี้ยว,Ban Siao,place
บ้านโสก,Ban Sok,place
บ้านหนุน,Ban Nun,place
บ้านหมอ,Ban Mo,place
บ้านหมอ,Ban Mo,place
บ้านหม้อ,Ban Mo,place
บ้านหมอคลินิกเวชกรรม,,"organization, place"
บ้านหมออรคลินิกเวชกรรม,,"organization, place"
บ้านหมี่,Ban Mi,place
บ้านหยวก,Ban Yuak,place
บ้านหลวง,Ban Luang,place
บ้านหลวง,Ban Luang,place
บ้านหลุม,Ban Lum,place
บ้านหวด,Ban Huat,place
บ้านหว้า,Ban Wa,place
บ้านหวาย,Ban Wai,place
บ้านหอย,Ban Hoi,place
บ้านหัน,Ban Han,place
บ้านหาด,Ban Hat,place
บ้านหาร,Ban Han,place
บ้านหินโงม,Ban Hin Ngom,place
บ้านหีบ,Ban Hip,place
บ้านเหล่า,Ban Lao,place
บ้านเหลื่อม,Ban Lueam,place
บ้านเหลื่อม,Ban Lueam,place
บ้านแห,Ban Hae,place
บ้านแหง,Ban Haeng,place
บ้านแหร,Ban Rae,place
บ้านแหลม,Ban Laem,place
บ้านแหลม,Ban Laem,place
บ้านแหวน,Ban Waen,place
บ้านโหนด,Ban Not,place
บ้านใหญ่,Ban Yai,place
บ้านใหม่,Ban Mai,place
บ้านใหม่คลองเคียน,Ban Mai Khlong Khian,place
บ้านใหม่คลินิกเวชกรรม,,"organization, place"
บ้านใหม่ไชยพจน์,Ban Mai Chaiyaphot,place
บ้านใหม่ไชยมงคล,Ban Mai Chai Mongkhon,place
บ้านใหม่สามัคคี,Ban Mai Samakkhi,place
บ้านใหม่สุขเกษม,Ban Mai Suk Kasem,place
บ้านใหม่หนองไทร,Ban Mai Nong Sai,place
บ้านอ้อน,Ban On,place
บ้านอิฐ,Ban It,place
บ้านเอื้อง,Ban Ueang,place
บ้านเอื้อม,Ban Ueam,place
บ้านแอ่น,Ban Aen,place
บ้านแฮด,Ban Haet,place
บ้านแฮด,Ban Haet,place
บ้านโฮ่ง,Ban Hong,place
บ้านโฮ่ง,Ban Hong,place
บานา,Bana,place
บามาโก,Bamako,place
บาร์เบโดส,Barbados,place
บาราโหม,Bara Hom,place
บาราเฮาะ,Bara Ho,place
บาเระใต้,Bare Tai,place
บาเระเหนือ,Bare Nuea,place
บาโร๊ะ,Baro,place
บาลอ,Balo,place
บาละ,Bala,place
บาโลย,Baloi,place
บาสแตร์,Basseterre,place
บ้าหวี,Ba Wi,place
บาโหย,Ba Hoi,place
บำรุงรักษ์การแพทย์คลินิก,,"organization, place"
บำเหน็จณรงค์,Bamnet Narong,place
บิง,Bing,place
บิชเคก,Bishkek,place
บิสเซา,Bissau,place
บี เอ็น คลินิกทันตกรรม,,"organization, place"
บึง,Bueng,place
บึงกระจับ,Bueng Krachap,place
บึงกอก,Bueng Kok,place
บึงกาสาม,Bueng Ka Sam,place
บึงกาฬ,Bueng Kan,place
บึงกาฬ,Bueng Kan,place
บึงกาฬ,,place
บึงกุ่ม,Bung Kum,place
บึงเกลือ,Bueng Kluea,place
บึงแก,Bueng Kae,place
บึงโขงหลง,Bueng Khong Long,place
บึงโขงหลง,,place
บึงคอไห,Bueng Kho Hai,place
บึงคำพร้อย,Bueng Kham Phoi,place
บึงงาม,Bueng Ngam,place
บึงเจริญ,Bueng Charoen,place
บึงชำอ้อ,Bueng Cham O,place
บึงทวาย,Bueng Thawai,place
บึงทองหลาง,Bueng Thong Lang,place
บึงทับแรต,Bueng Thap Raet,place
บึงนคร,Bueng Nakhon,place
บึงนาราง,Bueng Na Rang,place
บึงนาราง,Bueng Na Rang,place
บึงนาเรียง,Bueng Na Riang,place
บึงน้ำรักษ์,Bueng Nam Rak,place
บึงเนียม,Bueng Niam,place
บึงบอน,Bueng Bon,place
บึงบัว,Bueng Bua,place
บึงบา,Bueng Ba,place
บึงบูรพ์,Bueng Bun,place
บึงบูรพ์,Bueng Bun,place
บึงปรือ,Bueng Prue,place
บึงปลาทู,Bueng Pla Thu,place
บึงพระ,Bueng Phra,place
บึงพะไล,Bueng Phalai,place
บึงมะลู,Bueng Malu,place
บึงยี่โถ,Bueng Yitho,place
บึงวิชัย,Bueng Wichai,place
บึงศาล,Bueng San,place
บึงสนั่น,Bueng Sanan,place
บึงสามพัน,Bueng Sam Phan,place
บึงสามพัน,Bueng Sam Phan,place
บึงสามัคคี,Bueng Samakkhi,place
บึงสามัคคี,Bueng Samakkhi,place
บึงสำโรง,Bueng Samrong,place
บึงเสนาท,Bueng Senat,place
บึงอ้อ,Bueng O,place
บือมัง,Buemang,place
บือเระ,Buere,place
บุกระสัง,Bu Krasang,place
บุแกรง,Bu Kraeng,place
บุ่ง,Bung,place
บุ่งแก้ว,Bung Kaeo,place
บุ่งขี้เหล็ก,Bung Khi Lek,place
บุ่งคล้า,Bung Khla,place
บุ่งคล้า,Bung Khla,place
บุ่งคล้า,,place
บุ่งค้า,Bung Kha,place
บุ่งน้ำเต้า,Bung Namtao,place
บุ่งมะแลง,Bung Malaeng,place
บุ่งเลิศ,Bung Loet,place
บุ่งหวาย,Bung Wai,place
บุ่งไหม,Bung Mai,place
บุญเกิด,Bunkoet,place
